0000,55
0001,44
0002,32
0003,29
0004,25
0005,23
0006,21
0007,20
0008,19
0009,17
0010,15
0011,14
0012,13
0013,12.5
0014,12
0015,11.5
0016,11
0017,10
0018,9
0019,8.75
0020,8.5
0021,8.25
0022,8
0023,7.5
0024,7
0025,7
0026,7
0027,6.75
0028,6.5
0029,6.4
0030,6.25
0031,6.15
0032,6
0033,5.85
0034,5.75
0035,5.65
0036,5.50
0037,5.25
0038,5
0039,4.85
0040,4.75
0041,4.5
0042,4.25
0043,4.3
0044,4.3
0045,4.35
0046,4.4
0047,4.45
0048,4.5
0049,4.58
0050,4.63
0051,4.69
0052,4.75
0053,4.6
0054,4.52
0055,4.4
0056,4.34
0057,4.5
0058,4.67
0059,4.7
0060,4.75
0061,4.82
0062,4.89
0063,4.74
0064,4.68
0065,4.7
0066,4.71
0067,4.84
0068,4.93
0069,4.75
0070,4.56
0071,4.77
0072,5
0073,5.15
0074,5.25
0075,5.3
0076,5.3
0077,5.8
0078,6.2
0079,6.75
0080,7.3
0081,7.7
0082,8.1
0083,8.2
0084,8.3
0085,8.25
0086,8.2
0087,8.1
0088,7.9
0089,7.8
0090,7.7
0091,7.6
0092,7.5
0093,7.55
0094,7.6
0095,7.45
0096,7.3
0097,7.25
0098,7.2
0099,7.1
0100,6.9
0101,7
0102,7.1
0103,7.05
0104,7.0
0105,6.9
0106,6.8
0107,6.75
0108,6.7
0109,6.8
0110,6.9
0111,7
0112,7.1
0113,6.9
0114,6.7
0115,6.6
0116,6.5
0117,6.45
0118,6.4
0119,6.45
0120,6.5
0121,6.4
0122,6.3
0123,6.25
0124,6.3
0125,6.15
0126,6
0127,6.1
0128,6.2
0129,6.25
0130,6.3
0131,6.15
0132,6
0133,6.2
0134,6.4
0135,6.3
0136,6.2
0137,6.15
0138,6.1
0139,6
0140,5.9
0141,5.8
0142,5.7
0143,5.65
